"","Year","Round","State","Representatives","Standing"
"1",2019,0,"Alabama",1,0
"2",2019,0,"Alaska",1,0
"3",2019,0,"Arizona",1,0
"4",2019,0,"Arkansas",1,0
"5",2019,0,"California",1,0
"6",2019,0,"Colorado",1,0
"7",2019,0,"Connecticut",1,0
"8",2019,0,"Delaware",1,0
"9",2019,0,"Florida",1,0
"10",2019,0,"Georgia",1,0
"11",2019,0,"Hawaii",1,0
"12",2019,0,"Idaho",1,0
"13",2019,0,"Illinois",1,0
"14",2019,0,"Indiana",1,0
"15",2019,0,"Iowa",1,0
"16",2019,0,"Kansas",1,0
"17",2019,0,"Kentucky",1,0
"18",2019,0,"Louisiana",1,0
"19",2019,0,"Maine",1,0
"20",2019,0,"Maryland",1,0
"21",2019,0,"Massachusetts",1,0
"22",2019,0,"Michigan",1,0
"23",2019,0,"Minnesota",1,0
"24",2019,0,"Mississippi",1,0
"25",2019,0,"Missouri",1,0
"26",2019,0,"Montana",1,0
"27",2019,0,"Nebraska",1,0
"28",2019,0,"Nevada",1,0
"29",2019,0,"New Hampshire",1,0
"30",2019,0,"New Jersey",1,0
"31",2019,0,"New Mexico",1,0
"32",2019,0,"New York",1,0
"33",2019,0,"North Carolina",1,0
"34",2019,0,"North Dakota",1,0
"35",2019,0,"Ohio",1,0
"36",2019,0,"Oklahoma",1,0
"37",2019,0,"Oregon",1,0
"38",2019,0,"Pennsylvania",1,0
"39",2019,0,"Rhode Island",1,0
"40",2019,0,"South Carolina",1,0
"41",2019,0,"South Dakota",1,0
"42",2019,0,"Tennessee",1,0
"43",2019,0,"Texas",1,0
"44",2019,0,"Utah",1,0
"45",2019,0,"Vermont",1,0
"46",2019,0,"Virginia",1,0
"47",2019,0,"Washington",1,0
"48",2019,0,"West Virginia",1,0
"49",2019,0,"Wisconsin",1,0
"50",2019,0,"Wyoming",1,0
"51",2019,1,"Alabama",1,26
"52",2019,1,"Alaska",1,2
"53",2019,1,"Arizona",1,36
"54",2019,1,"Arkansas",1,17
"55",2019,1,"California",2,49
"56",2019,1,"Colorado",1,29
"57",2019,1,"Connecticut",1,21
"58",2019,1,"Delaware",1,5
"59",2019,1,"Florida",1,47
"60",2019,1,"Georgia",1,42
"61",2019,1,"Hawaii",1,10
"62",2019,1,"Idaho",1,11
"63",2019,1,"Illinois",1,44
"64",2019,1,"Indiana",1,33
"65",2019,1,"Iowa",1,19
"66",2019,1,"Kansas",1,15
"67",2019,1,"Kentucky",1,24
"68",2019,1,"Louisiana",1,25
"69",2019,1,"Maine",1,8
"70",2019,1,"Maryland",1,31
