"","Round","State","Representatives"
"1",0,"Alabama",1
"2",0,"Alaska",1
"3",0,"Arizona",1
"4",0,"Arkansas",1
"5",0,"California",1
"6",0,"Colorado",1
"7",0,"Connecticut",1
"8",0,"Delaware",1
"9",0,"Florida",1
"10",0,"Georgia",1
"11",0,"Hawaii",1
"12",0,"Idaho",1
"13",0,"Illinois",1
"14",0,"Indiana",1
"15",0,"Iowa",1
"16",0,"Kansas",1
"17",0,"Kentucky",1
"18",0,"Louisiana",1
"19",0,"Maine",1
"20",0,"Maryland",1
"21",0,"Massachusetts",1
"22",0,"Michigan",1
"23",0,"Minnesota",1
"24",0,"Mississippi",1
"25",0,"Missouri",1
"26",0,"Montana",1
"27",0,"Nebraska",1
"28",0,"Nevada",1
"29",0,"New Hampshire",1
"30",0,"New Jersey",1
"31",0,"New Mexico",1
"32",0,"New York",1
"33",0,"North Carolina",1
"34",0,"North Dakota",1
"35",0,"Ohio",1
"36",0,"Oklahoma",1
"37",0,"Oregon",1
"38",0,"Pennsylvania",1
"39",0,"Rhode Island",1
"40",0,"South Carolina",1
"41",0,"South Dakota",1
"42",0,"Tennessee",1
"43",0,"Texas",1
"44",0,"Utah",1
"45",0,"Vermont",1
"46",0,"Virginia",1
"47",0,"Washington",1
"48",0,"West Virginia",1
"49",0,"Wisconsin",1
"50",0,"Wyoming",1
"51",1,"Alabama",1
"52",1,"Alaska",1
"53",1,"Arizona",1
"54",1,"Arkansas",1
"55",1,"California",2
"56",1,"Colorado",1
"57",1,"Connecticut",1
"58",1,"Delaware",1
"59",1,"Florida",1
"60",1,"Georgia",1
"61",1,"Hawaii",1
"62",1,"Idaho",1
"63",1,"Illinois",1
"64",1,"Indiana",1
"65",1,"Iowa",1
"66",1,"Kansas",1
"67",1,"Kentucky",1
"68",1,"Louisiana",1
"69",1,"Maine",1
"70",1,"Maryland",1
"71",1,"Massachusetts",1
"72",1,"Michigan",1
"73",1,"Minnesota",1
"74",1,"Mississippi",1
"75",1,"Missouri",1
"76",1,"Montana",1
"77",1,"Nebraska",1
"78",1,"Nevada",1
"79",1,"New Hampshire",1
"80",1,"New Jersey",1
"81",1,"New Mexico",1
"82",1,"New York",1
"83",1,"North Carolina",1
"84",1,"North Dakota",1
"85",1,"Ohio",1
"86",1,"Oklahoma",1
"87",1,"Oregon",1
"88",1,"Pennsylvania",1
"89",1,"Rhode Island",1
"90",1,"South Carolina",1
"91",1,"South Dakota",1
"92",1,"Tennessee",1
"93",1,"Texas",1
"94",1,"Utah",1
"95",1,"Vermont",1
"96",1,"Virginia",1
"97",1,"Washington",1
"98",1,"West Virginia",1
"99",1,"Wisconsin",1
"100",1,"Wyoming",1
"101",2,"Alabama",1
"102",2,"Alaska",1
"103",2,"Arizona",1
"104",2,"Arkansas",1
"105",2,"California",2
"106",2,"Colorado",1
"107",2,"Connecticut",1
"108",2,"Delaware",1
"109",2,"Florida",1
"110",2,"Georgia",1
"111",2,"Hawaii",1
"112",2,"Idaho",1
"113",2,"Illinois",1
"114",2,"Indiana",1
"115",2,"Iowa",1
"116",2,"Kansas",1
"117",2,"Kentucky",1
"118",2,"Louisiana",1
"119",2,"Maine",1
"120",2,"Maryland",1
"121",2,"Massachusetts",1
"122",2,"Michigan",1
"123",2,"Minnesota",1
"124",2,"Mississippi",1
"125",2,"Missouri",1
"126",2,"Montana",1
"127",2,"Nebraska",1
"128",2,"Nevada",1
"129",2,"New Hampshire",1
"130",2,"New Jersey",1
"131",2,"New Mexico",1
"132",2,"New York",1
"133",2,"North Carolina",1
"134",2,"North Dakota",1
"135",2,"Ohio",1
"136",2,"Oklahoma",1
"137",2,"Oregon",1
"138",2,"Pennsylvania",1
"139",2,"Rhode Island",1
"140",2,"South Carolina",1
"141",2,"South Dakota",1
"142",2,"Tennessee",1
"143",2,"Texas",2
"144",2,"Utah",1
"145",2,"Vermont",1
"146",2,"Virginia",1
"147",2,"Washington",1
"148",2,"West Virginia",1
"149",2,"Wisconsin",1
"150",2,"Wyoming",1
"151",3,"Alabama",1
"152",3,"Alaska",1
"153",3,"Arizona",1
"154",3,"Arkansas",1
"155",3,"California",3
"156",3,"Colorado",1
"157",3,"Connecticut",1
"158",3,"Delaware",1
"159",3,"Florida",1
"160",3,"Georgia",1
"161",3,"Hawaii",1
"162",3,"Idaho",1
"163",3,"Illinois",1
"164",3,"Indiana",1
"165",3,"Iowa",1
"166",3,"Kansas",1
"167",3,"Kentucky",1
"168",3,"Louisiana",1
"169",3,"Maine",1
"170",3,"Maryland",1
"171",3,"Massachusetts",1
"172",3,"Michigan",1
"173",3,"Minnesota",1
"174",3,"Mississippi",1
"175",3,"Missouri",1
"176",3,"Montana",1
"177",3,"Nebraska",1
"178",3,"Nevada",1
"179",3,"New Hampshire",1
"180",3,"New Jersey",1
"181",3,"New Mexico",1
"182",3,"New York",1
"183",3,"North Carolina",1
"184",3,"North Dakota",1
"185",3,"Ohio",1
"186",3,"Oklahoma",1
"187",3,"Oregon",1
"188",3,"Pennsylvania",1
"189",3,"Rhode Island",1
"190",3,"South Carolina",1
"191",3,"South Dakota",1
"192",3,"Tennessee",1
"193",3,"Texas",2
"194",3,"Utah",1
"195",3,"Vermont",1
"196",3,"Virginia",1
"197",3,"Washington",1
"198",3,"West Virginia",1
"199",3,"Wisconsin",1
"200",3,"Wyoming",1
"201",4,"Alabama",1
"202",4,"Alaska",1
"203",4,"Arizona",1
"204",4,"Arkansas",1
"205",4,"California",3
"206",4,"Colorado",1
"207",4,"Connecticut",1
"208",4,"Delaware",1
"209",4,"Florida",1
"210",4,"Georgia",1
"211",4,"Hawaii",1
"212",4,"Idaho",1
"213",4,"Illinois",1
"214",4,"Indiana",1
"215",4,"Iowa",1
