"","Round","State","Match-up"
"1",0,"Alabama",0
"2",0,"Alaska",0
"3",0,"Arizona",0
"4",0,"Arkansas",0
"5",0,"California",0
"6",0,"Colorado",0
"7",0,"Connecticut",0
"8",0,"Delaware",0
"9",0,"Florida",0
"10",0,"Georgia",0
"11",0,"Hawaii",0
"12",0,"Idaho",0
"13",0,"Illinois",0
"14",0,"Indiana",0
"15",0,"Iowa",0
"16",0,"Kansas",0
"17",0,"Kentucky",0
"18",0,"Louisiana",0
"19",0,"Maine",0
"20",0,"Maryland",0
"21",0,"Massachusetts",0
"22",0,"Michigan",0
"23",0,"Minnesota",0
"24",0,"Mississippi",0
"25",0,"Missouri",0
"26",0,"Montana",0
"27",0,"Nebraska",0
"28",0,"Nevada",0
"29",0,"New Hampshire",0
"30",0,"New Jersey",0
"31",0,"New Mexico",0
"32",0,"New York",0
"33",0,"North Carolina",0
"34",0,"North Dakota",0
"35",0,"Ohio",0
"36",0,"Oklahoma",0
"37",0,"Oregon",0
"38",0,"Pennsylvania",0
"39",0,"Rhode Island",0
"40",0,"South Carolina",0
"41",0,"South Dakota",0
"42",0,"Tennessee",0
"43",0,"Texas",0
"44",0,"Utah",0
"45",0,"Vermont",0
"46",0,"Virginia",0
"47",0,"Washington",0
"48",0,"West Virginia",0
"49",0,"Wisconsin",0
"50",0,"Wyoming",0
"51",1,"Alabama",27
"52",1,"Alaska",3
"53",1,"Arizona",34
"54",1,"Arkansas",18
"55",1,"California",49
"56",1,"Colorado",28
"57",1,"Connecticut",21
"58",1,"Delaware",5
"59",1,"Florida",46
"60",1,"Georgia",41
"61",1,"Hawaii",10
"62",1,"Idaho",11
"63",1,"Illinois",45
"64",1,"Indiana",35
"65",1,"Iowa",20
"66",1,"Kansas",17
"67",1,"Kentucky",24
"68",1,"Louisiana",25
"69",1,"Maine",9
"70",1,"Maryland",31
"71",1,"Massachusetts",36
"72",1,"Michigan",42
"73",1,"Minnesota",29
"74",1,"Mississippi",19
"75",1,"Missouri",32
"76",1,"Montana",6
"77",1,"Nebraska",12
"78",1,"Nevada",15
"79",1,"New Hampshire",8
"80",1,"New Jersey",39
"81",1,"New Mexico",14
"82",1,"New York",47
"83",1,"North Carolina",40
"84",1,"North Dakota",2
"85",1,"Ohio",43
"86",1,"Oklahoma",22
"87",1,"Oregon",23
"88",1,"Pennsylvania",44
"89",1,"Rhode Island",7
"90",1,"South Carolina",26
"91",1,"South Dakota",4
"92",1,"Tennessee",33
"93",1,"Texas",48
"94",1,"Utah",16
"95",1,"Vermont",1
"96",1,"Virginia",38
"97",1,"Washington",37
"98",1,"West Virginia",13
"99",1,"Wisconsin",30
"100",1,"Wyoming",0
"101",2,"Alabama",27
"102",2,"Alaska",3
"103",2,"Arizona",34
"104",2,"Arkansas",18
